システム名	作者	RDB SYSTEM
vsdb	naoto	sqlite3


No	物理名	論理名	用途	作成日	更新日
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1			datetime	日時	datetime					
2	✔		id		serial					
3			number	順番	int					
4		✔	place		rel					
5		✔	route		rel					


story
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1		✔	camera_center_place	(領域設定用)	rel					place story このストーリーに登場する主な地点をすべて包含するような範囲(四角形)の中心
2			camera_zoom_level	(領域設定用)z-index	int					
3		✔	comic		rel					
4	✔		id		serial					
5		✔	journey		rel					
6		✔	magazine		rel					
7			subtitle	サブタイトル	char					
8			title	単話タイトル	char					
9		✔	type_master	分類	rel					type_master 本編、番外旅、おうちで料理 ToDo


tweet
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1			description	内容	text					
2	✔		id		serial					
3		✔	person		rel					
4		✔	step		rel					
5		✔	type_master	分類	rel					type_master tweet 鈴ヶ森さん、作者、巡礼・追走、 ToDo
6			url	固定URL	url					


type_master
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1	✔		id		serial					
2			key	属性	char					
3			name	参照名	char					
4			value	値	char					


user
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1			date_joined		datetime					
2			email		char					
3			first_name		char					
4	✔		id		serial					
5			last_name		char					
6			username		char					


venue
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1		✔	comic		rel					
2	✔		id		serial					
3			name	名称	char					
4		✔	story		rel					
5		✔	type_master	分類	rel					type_master 1:都道府県 2:市区町村 3:番地等の細かい行政界 5:著名観光地 6:ランドマーク、顕著な建造物、施設 7:道、航路、等


web_comic
No	主キー	外部キー	カラム名	項目名	データ型	NOT NULL	一意制	default	更新	備考
1			cw_published	CW公開日	date					
2			cw_url	Comic Walkerリンク	url					
3	✔		id		serial					
4			memo	編集メモ	text					
5			nico_published	nico公開日	date					
6			nico_url	ニコニコ静画リンク	url					
7			pages	ページ数	int					
8			part_number	分割の順列	int					
9		✔	story		rel					
10			title	各話の名前	char					
